,Unnamed: 0,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients
443,443,https://www.marmiton.org/recettes/recette_burger-breton-aux-galettes-de-sarrasin_345743.aspx,3.3,9.0,4000.0,Burger breton aux galettes de sarrasin,35 min,facile,Coût moyen,4.0,"['125 g de farine de sarrasin', '125 g de farine de froment', '1 oeuf', '35 cl de lait', ""35 cl d'eau froide"", '50 g de beurre', 'Sel', 'brin de ciboulette', '250 g de saumon frais', '20 cl de crème fraîche épaisse', '1/2 concombre', 'feuille de mâche']"
444,444,https://www.marmiton.org/recettes/recette_galette-des-rois-au-chocolat-facile_334806.aspx,0.0,0.0,51.0,galette des rois au chocolat facile,35 min,facile,bon marché,8.0,"['2 rouleaux de pâte feuilletée', '200 g de chocolat au lait à pâtisserie', ""1 paquet de poudre d'amandes"", '10 cl de crème entière semi-épaisse', '1 noix de beurre', ""1 jaune d'oeuf""]"
445,445,https://www.marmiton.org/recettes/recette_buche-de-noel-chocolat-fruits-rouges_343049.aspx,5.0,1.0,142.0,Bûche de Noël Chocolat et fruits rouges,40 min,facile,Coût moyen,6.0,"['3 oeufs', '90 g de sucre', '90 g de farine', '150 g de chocolat', '20 g de beurre', '60 g de crème liquide entière', '150 g de fruits rouges', '2 cuillères à soupe de sucre', '1/2 sachet de sucre vanillé', 'zeste de citron']"
447,447,https://www.marmiton.org/recettes/recette_galette-des-rois-au-trois-chocolats_66225.aspx,3.8,6.0,1100.0,Galette des rois au trois chocolats,45 min,facile,Coût moyen,8.0,"['80 g de chocolat noir', '80 g de chocolat au lait', '80 g de chocolat blanc', ""60 g d'amandes en poudre"", '12 cl de lait', '2 pâtes feuilletés', ""1 jaune d'oeuf pour dorer"", '1 fève']"
448,448,https://www.marmiton.org/recettes/recette_la-buche-de-noel-de-mamie-popo_343033.aspx,0.0,0.0,119.0,La bûche de Noël de Mamie Popo,1h20,Niveau moyen,bon marché,8.0,"['5 oeufs', '125 g de sucre semoule', '125 g de farine', '1 l de lait', ""6 jaunes d'oeuf"", '140 g de farine', '140 g de sucre semoule', '200 g de beurre doux', '200 g de chocolat', '1 sachet de sucre vanillé']"
449,449,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-carotte_66147.aspx,4.8,4.0,250.0,Galette des rois à la carotte,45 min,très facile,bon marché,8.0,"['2 pâtes feuilletées', '1 oeuf', ""1/2 jaune d'oeuf + lait pour le dorage"", ""75 g de poudre d'amandes"", '40 g de poudre de noisette', '75 g de beurre', '1 grande cuillère à soupe de farine', '75 g de sucre (moitié roux, moitié blanc)', ""goutte d'essence d'amande amère"", '125 g de carotte râpées', '50 g de raisins secs', '3 cuillères à soupe de lait', '1 cuillère à café de cannelle en poudre']"
450,450,https://www.marmiton.org/recettes/recette_buche-de-noel-rapide-et-pas-cher_43575.aspx,4.3,22.0,3400.0,Bûche de Noël rapide et pas cher !,45 min,facile,bon marché,8.0,"['150 g de sucre en poudre', '100 g de farine', '4 oeufs', '2 oeufs', '150 g de sucre glace', '200 g de chocolat à cuire', '250 g de beurre']"
451,451,https://www.marmiton.org/recettes/recette_buche-de-noel-legere-aux-marrons_221776.aspx,4.2,5.0,315.0,Bûche de Noël légère aux marrons,1h10,Niveau moyen,Coût moyen,8.0,"['4 oeufs', '150 g de sucre en poudre', '100 g de farine', '50 g de cacao non sucré', '1 pincée de sel (dans les blancs en neige)', '10 cl de sirop de sucre de canne', '5 cl de rhum', '300 g de beurre', '20 cl de crème liquide', '100 g de brisures de marrons glacés', '500 g de crème de marron']"
452,452,https://www.marmiton.org/recettes/recette_bretzels-au-chocolat-sables-de-noel_43213.aspx,2.6,7.0,483.0,Bretzels au chocolat (sablés de Noël),30 min,très facile,bon marché,6.0,"['120 g de beurre', '250 g de farine (+/- selon la consistance de la pâte)', '400 g de sucre', '3 oeufs', '100 g de cacao', '1 cuillère à café de levure chimique', '1 paquet de sucre vanillé', '1 bonne cuillère à soupe de lait']"
453,453,https://www.marmiton.org/recettes/recette_plenze-crepe-de-pomme-de-terre_329622.aspx,5.0,4.0,439.0,Plenzé (galette de pommes de terre polonaise),20 min,facile,bon marché,4.0,"['6 pommes de terre', '2 oeufs', '3 cuillères à soupe de farine', '1 cuillère à café de sel', ""1 cuillère à soupe d'huile d'arachide ou de tournesol""]"
